playlist_position,digiturk_number,wanted_name,resolved_id,resolution,status,source,source_detail,health_status,health_detail,health_url,candidate_count,quality,label,stream_title,block_reason,official_page
38,58,TRT Kurdî,TRTKurdi.tr,id,added_iptv_org_healthy,iptv-org,TRTKurdi.tr,pass,master_ok->hls_segment_ok:http_206,https://tv-trtkurdi.medya.trt.com.tr/master.m3u8,1,720p,,TRT Kurdî,,
39,59,Türk Haber TV,TurkHaberTV.tr,id,added_iptv_org_healthy,iptv-org,TurkHaberTV.tr,pass,master_ok->hls_segment_ok:http_206,https://edge1.socialsmart.tv/turkhaber/bant1/playlist.m3u8,1,720p,,TürkHaber,,
40,60,Sözcü TV,SozcuTV.tr,id,added_iptv_org_unverified,iptv-org,SozcuTV.tr,unverified_fail_open,master_variants_failed:segments_failed:http_403|http_403,http://5.178.103.239:55/yt1/szctv.m3u8,2,1080p,,Sozcu TV,,https://www.sozcu.com.tr/sozcu-tv-canli-yayin-wp7630113
41,61,TRT Türk,TRTTurk.tr,id,added_iptv_org_healthy,iptv-org,TRTTurk.tr,pass,master_ok->hls_segment_ok:http_206,https://tv-trtturk.medya.trt.com.tr/master.m3u8,1,720p,,TRT Türk,,
42,62,KRT,KRT.tr,id,added_extra_fallback_unverified,extra_streams.json,Two public provider HLS candidates. The previous 720p endpoint returned HTTP 500 on GitHub; the simpler master endpoint is tried first.,unverified_fail_open,"network_[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'krt.blutv.com'. (_ssl.c:1010)",https://krt.blutv.com/blutv_krt_live/live.m3u8,2,,,KRT,,https://www.krttv.com.tr/canli-yayin
43,63,Bengü Türk,BenguTurk.tr,missing,added_extra_fallback_healthy,extra_streams.json,"Public mirror candidates, not claimed as broadcaster-origin URLs. Used only if health check passes; official-page resolver remains enabled.",pass,master_ok->hls_segment_ok:http_206,https://ensonhaber-live.ercdn.net/benguturk/benguturk.m3u8,2,,,Bengü Türk,,https://www.benguturk.com/canli-yayin
44,65,TV4,TV4.tr,id,added_iptv_org_healthy,iptv-org,TV4.tr,pass,master_ok->hls_segment_ok:http_206,https://turkmedya-live.ercdn.net/tv4/tv4.m3u8,1,720p,,TV4,,
45,66,TRT 2,TRT2.tr,id,added_iptv_org_unverified,iptv-org,TRT2.tr,unverified_fail_open,http_403,https://tv-trt2.medya.trt.com.tr/master.m3u8,1,1440p,Geo-blocked,TRT 2,,
46,67,VAV TV,VavTV.tr,name,added_iptv_org_healthy,iptv-org,VavTV.tr,pass,master_ok->hls_segment_ok:http_200,https://playlist.fasttvcdn.com/pl/rfrk9821hdy9dayo8wfyha/kltr-sanat-tv/playlist.m3u8,1,,,Vav TV,,
47,68,Diyanet TV,DiyanetTV.tr,id,added_iptv_org_healthy,iptv-org,DiyanetTV.tr,pass,master_ok->hls_segment_ok:http_206,https://eustr73.mediatriple.net/videoonlylive/mtikoimxnztxlive/broadcast_5e3bf95a47e07.smil/playlist.m3u8,1,1080p,,Diyanet TV,,
48,69,Akit TV,AkitTV.tr,id,added_extra_fallback_unverified,extra_streams.json,Fallback for Akit TV free live stream.,unverified_fail_open,network_[Errno -2] Name or service not known,https://akittv-live.ercdn.net/akittv/akittv.m3u8,1,,,Akit TV,,
